make_id;name
1;124
1;500
1;595
1;695
1;Grande Punto
2;33
2;146
2;147
2;155
2;156
2;159
2;164
2;166
2;Brera
2;Crosswagon
2;Giulietta
2;GT
2;GTV
2;Mito
2;Spider
2;Sportwagon
3;80
3;90
3;100
3;200
3;A1
3;A2
3;A3
3;A4
3;A4 Allroad
3;A5
3;A6
3;A6 Allroad
3;A7
3;A8
3;Cabriolet
3;Coupe
3;Q5
3;Q7
3;Quattro
3;R8
3;Rs4
3;Rs6
3;S2
3;S3
3;S4
3;S5
3;S6
3;S7
3;S8
3;TT
3;V8
4;M1
4;M5
4;M6
4;Seria 1
4;Seria 3
4;Seria 5
4;Seria 6
4;Seria 7
4;X1
4;X3
4;X5
4;X5m
4;X6
4;X6m
4;Z3
4;Z4
4;Seria 2
4;Seria 4
5;Alero
5;Avalanche
5;Aveo
5;Blazer
5;Camaro
5;Captiva
5;Cavalier
5;Corvette
5;Cruze
5;Epica
5;Equinox
5;Evanda
5;Express
5;HHR
5;Kalos
5;Lacetti
5;Lumina
5;Malibu
5;Matiz
5;Nubira
5;Orlando
5;Rezzo
5;Silverado
5;Spark
5;Suburban
5;Tahoe
5;Trans Sport
5;Venture
6;300C
6;Aspen
6;Caravan
6;Concorde
6;Crossfire
6;Daytona
6;Grand Voyager
6;GS
6;Le Baron
6;Neon
6;New Yorker
6;Pacifica
6;PT Cruiser
6;Saratoga
6;Sebring
6;Stratus
6;Town & Country
6;Vision
6;Voyager
7;AX
7;Berlingo
7;BX
7;C-Crosser
7;C1
7;C2
7;C3
7;C3 Picasso
7;C3 Pluriel
7;C4
7;C4 Picasso
7;C5
7;C6
7;C8
7;CX
7;DS
7;Evasion
7;GSA
7;Nemo
7;Saxo
7;Xantia
7;XM
7;Xsara
7;Xsara Picasso
7;ZX
8;Formentor
8;Born
8;Ateca
8;Leon
9;Duster
9;Logan
9;Sandero
9;Sandero Stepway
9;Lodgy
10;Espero
10;Kalos
10;Korando
10;Lanos
10;Leganza
10;Matiz
10;Musso
10;Nexia
10;Nubira
10;Rezzo
10;Tacuma
10;Tico
11;DS 3
11;DS 3 Crossback
11;DS 4
11;DS 4 Crossback
11;DS 5
11;DS 7 Crossback
11;DS 9
12;Aerostar
12;B-MAX
12;C-MAX
12;Capri
12;Contour
12;Cougar
12;Econoline
12;Escape
12;Escort
12;Explorer
12;F150
12;F250
12;F350
12;Fiesta
12;Focus
12;Focus C-Max
12;Fusion
12;Galaxy
12;Granada
12;Gt
12;KA
12;Kuga
12;Maverick
12;Mondeo
12;Mustang
12;Orion
12;Probe
12;Puma
12;Ranger
12;S-Max
12;Scorpio
12;Sierra
12;Streetka
12;Taurus
12;Tourneo
12;Windstar
13;125p
13;126
13;500
13;600
13;Albea
13;Barchetta
13;Brava
13;Bravo
13;Cinquecento
13;Coupe
13;Courier
13;Croma
13;Doblo
13;Ducato
13;Fiorino
13;Freemont
13;Grande Punto
13;Idea
13;Linea
13;Marea
13;Multipla
13;Palio
13;Panda
13;Punto
13;Punto Evo
13;Qubo
13;Scudo
13;Sedici
13;Seicento
13;Siena
13;Spider Europa
13;Stilo
13;Strada
